section,part,page,category,block_summary,text
Introduction,Introduction,3,plain text,,"For the CalWORKs System Improvement Plan (Cal-SIP), the Cal-OAR Team will aim to establish small cohorts of current and former clients to better understand CWWTW barriers and challenges from their perspective."
Introduction,Introduction,3,plain text,,A key priority for the Cal-OAR Team was to ensure a thoughtful community-focused approach while completing the Cal-CSA and throughout the continuous quality improvement process. The Cal-OAR Team obtained feedback from a variety of partners and collaborators to help ensure that multiple perspectives were included.
Introduction,Introduction,3,plain text,,Agency assisting Medi-Cal and CalFresh clients. The second SSSI has a strong research background and over 6 years of Agency experience.
Introduction,Introduction,3,page number,,4
Introduction,Introduction,4,plain text,,"The Cal-OAR Team also facilitated internal virtual meetings with CWWTW SMEs, administrators, and various levels of CalWORKs staff to gather feedback and insight. The feedback provided by various partners and collaborators was used to inform the Cal-CSA process and provide insight into ways in which the Agency can incorporate suggestions and start planning for the Cal-SIP."
Introduction,Introduction,4,plain text,,"The Cal-OAR Team supported the effort to gather feedback from clients by promoting the Client Satisfaction Survey (CSS) created by CDSS. Flyers promoting the survey were distributed to clients to promote the completion of the survey as well as messaging to caseworkers to help explain the purpose of the CSS and how to complete it. Additionally, the team plans on reaching out to clients who have selected that they wish to be contacted regarding the survey to continue engagement through focus groups and surveys."
Introduction,Introduction,4,plain text,,"The Cal-OAR Team was pleased to learn that most partners and collaborators were willing and excited to participate in discussions surrounding various areas of the CWWTW program, barrier removal services, drivers of success, and pain points within the program. A few takeaways from this process include:"
Introduction,Introduction,4,plain text,,Focus group participants enjoyed being consulted for potential  program improvements and opportunities in service delivery and are looking forward to seeing new implementations related to their feedback.
Introduction,Introduction,4,plain text,,". When first engaging with stakeholders, it is beneficial to provide education regarding Cal-OAR, the Cal-OAR continuous quality improvement (CQI) process, how performance measures are determined, and how to interpret performance measures. While Cal-OAR is a data-driven process, CWWTW is multi- dimensional and requires a thorough and thoughtful understanding of how services are delivered to vulnerable families and whether or not families are ready to receive them."
Introduction,Introduction,4,plain text,,small groups of six (6) to eight (8) members to discuss strengths and challenges of various aspects of the CalWORKs program and completed root cause analyses.
Introduction,Introduction,4,page number,,5
Demographics,Demographics,5,title,,1. Describe the strengths and needs of the communities served.
Demographics,Demographics,5,title,,Demographics
Demographics,Demographics,5,plain text,,"Orange County has a very diverse and educated population. This strength in diversity and education contributes to the county's strong workforce, economy, and tourism. Additionally, Orange County is located in Southern California adjacent to Los Angeles and in close proximity to San Diego which are major population, employment, and economic centers as well."
Demographics,Demographics,5,plain text,,"According to data available on the CDSS Cal-OAR Dashboard, 26.4% of Orange County residents have a bachelor's degree compared to the 21.6% rate in California; 14.9% of Orange County residents have a graduate degree compared to the 13.1% rate in California."
Demographics,Demographics,5,plain text,,"Orange County has a lower rate of unemployment than California and surrounding counties. Unemployment rates in Orange County were 2.8% (2019) and 6.0% (2021), compared to California's 5.2% (2019) and 7.3% (2021) (Figure 1: Average Unemployment Rate). Moreover, Orange County's Race and Ethnicity breakdown for Asian populations is 20.3% (6% higher than CA) while the Latino population is 34.1% (4.9% lower than CA) (Figure 2: Race and Ethnicity Data)"
Demographics,Demographics,5,plain text,,"Description: This table summarizes the unemployment rate in Orange County for the years 2019 through 2021. For comparison, the unemployment rates for Riverside, San Bernardino, and San Diego counties (and California as a whole) were included"
Demographics,Demographics,5,plain text,,"Source CDSS_Cal-OAR_Data Dashboard (CountyDemographic Profile tab, Average Unemployment & Unemployment Rate Sub-Section)"
Demographics,Demographics,5,plain text,,Reference on the CalWORKs County Self-Assessment (Cal-CSA): Background Question 1
Demographics,Demographics,5,page number,,6
Demographics,Demographics,5,table,,County 2019 2020 2021 California 5.2% 10.1% 7.3% Orange 2.8% 9.1% 6.0% Riverside 4.3% 10.2% 7.4% San Bernardino 3.9% 9.7% 7.4% San Diego 3.3% 9.5% 6.5%
Demographics,Demographics,5,table caption,,Figure 1: Average Unemployment Rate
Demographics,Demographics,6,plain text,,"Low income and affordable housing options in Orange County are scarce. According to the OC Community Indicators Report 2021-22, the “housing wage” or minimum wage a worker would need to earn to afford renting a median-priced, one-bedroom apartment increased to $36.31 an hour or $75,529 per year. A minimum wage worker would need to work 104 hours a week to afford a one-bedroom apartment, 128 hours a week to afford two bedrooms, and 177 hours per week to afford three bedrooms (Figure 3: Orange County's Monthly Cost of Rent)."
Demographics,Demographics,6,plain text,,"The Race and Ethnicity breakdown is significant because further analysis and understanding of the region will show that the Asian ethnicity category is not dominated by a single group but rather multiple communities. Orange County has concentrated populations in multiple regions of the county. Vietnamese residents are heavily concentrated in the western cities, Korean residents are concentrated in the northern cities, and Chinese residents in the southern part of the county. Additionally, it is important to note that the White demographic breakdown is inclusive of Arabic and Farsi speaking populations. Orange County has concentrated Arabic speaking populations in the central/northern portion of the county and the Farsi speaking population is the 3rd largest non-English language for our clients."
Demographics,Demographics,6,plain text,,"While Orange County enjoys a strong labor market, diversity, and a highly desirable climate, these same reasons create high costs of living."
Demographics,Demographics,6,plain text,,"Descriotion: This table summarizes race and ethnicity data for Orange County for the years 2015 - 2019 (isted as 2019) and 2016- 2020 (listed as 2020). For comparison, race and ethnicity data for Riverside, San Bernardino, and San Diego counties (and California as a whole) were included. Source: 1 U.S. Census Bureau. American Community Survey 5-Year Estimates (2019 and 2020). Table DP05"
Demographics,Demographics,6,page number,,7
Demographics,Demographics,6,table,,hispanic Hispanic IC Asian Asian Black Black or  Other Othei or White White County 2019 2020 2019 2020 Latino 2019 Latinc 2020 2019 2020 2019 2020 California 14.3% 14.6% 5.5% 5.4% 39.0% 39.1% 4.0% 4.4% 37.2% 36.5% Orange 20.3% 20.9% 1.6% 1.6% 34.1% 33.8 % 4.0% 3.4% 40.6% 39.8% Riverside 6.3% 6.1% 6.5% 6.1% 48.9% 49.4% 3.3% 3.6% 35.3% 34.4% San 7.0% 7.0% 7.2% 7.9% 7.7% 53.3% 53.8% 3.3% 3 8.8% 28.5% 27.6% Bernardino San Diego 11.6% 11.7% 0 4.7% 4.6% 33.7% 33.9% 6 4.4% 4.9% 45.6% 4 44.9%
Demographics,Demographics,6,table caption,,Figure 2: Race and Ethnicity Data
Demographics,Demographics,7,title,,Figure 3: Orange County's Monthly Cost of Rent
Demographics,Demographics,7,title,,"RENTAL MARKET AFFORDABILITY IN ORANGE COUNTY, 2017-2021"
Demographics,Demographics,7,plain text,,"According to the U.S. Census Bureau, the median age in 2000 was 33.3; the median age rose by five (5) years to 38.3 in 2020. According to the most recent data from the California Department of Finance, residents aged 65 and over are the only age group expected to increase in proportion between 2020 and 2060 in Orange County. With only the oldest age group increasing, the old-age dependency ratio will increase, meaning fewer workers and students and more elderly dependents."
Demographics,Demographics,7,plain text,,"While tourism and the service industry play a major part in the economy, jobs created by tourism and service industries do not often translate to living wages in Orange County and are often filled by non-English speaking workers."
Demographics,Demographics,7,plain text,,"According to the 2019-2023 OC Comprehensive Economic Development Strategy Report, increased diversity is impacting local schools that need to adequately plan or reinforce English language programs, limiting the educational attainment of English 1 Language Learners."
Demographics,Demographics,7,plain text,,"Another concern in Orange County is the aging population. The age trends and housing costs are also creating more multi-generational homes with multi-faceted needs for healthcare, child care, employment support, and behavioral health services."
Demographics,Demographics,7,plain text,,Sources: Cor Indi tors rt a lysis of Fair nt data from the U.S. De nt of Housing and Urbar Developme g the me logy of the National Lo ome Housing Coalition
Demographics,Demographics,7,plain text,,AFFORDING MEDIAN RENT REQUIRES 104 MINIMUM WAGE WORK HOURS
Demographics,Demographics,7,plain text,,"References on the Cal-CSA: Backqround Question 1, Section 8 Part 1 Question 4, Section 8 Part 5 Question 2"
Demographics,Demographics,7,plain text,,Descriotion: This table summarizes fair market rent prices for apartments in Orange County from 2017 and 2021 and the affordability of those apartments for minimum wage earners. source: Orange County Community Indicators Report (2021-2022). page 95
Demographics,Demographics,7,page number,,8
Demographics,Demographics,7,table,,"FAIR MARKET RENT (MONTHLY 2017 7 2018 19 2019 2020 2021 One Bedroom $1.493 $1,436 $1.632 $1.785 $1.888 Two Bedroom $1.813 $1.876 $2.037 $2,216 $2.331 Three Bedroom $2.531 $2.626 $2.862 $3.098 $3.227 Amount a Household with One Minimum Wage Earner Can Afford to Pay in Rent $546 $572 $624 $676 $728 (Monthly) Number of Hours per Week a Minimum Wage Earner Must Work to Afford a 105 104 105 104 106 104 One-Bedroom Apartment"
Demographics,Demographics,8,title,,2. How does the county demographic profile compare with CWD and statewide demographics?
Demographics,Demographics,8,plain text,,"Lastly, Orange County is a car-dependent location with limited public transportation options for individuals without a car. This creates further issues for commuting to employment, child care, education, and regular daily necessities such as groceries, healthcare, and pleasure."
Demographics,Demographics,8,plain text,,"Educational Attainment and Median Earnings: Based on data from the CDSS Cal-OAR Dashboard (obtained from the 2016-2020 American Community Surveys (5-Year Estimates), median earnings of adults 25 years and older in Orange County and California increased as educational attainment increased (Figure 4: Median Earnings and Rate of Poverty in Relation to Level of Educational Attainment). The lowest educational attainment category (less than high school degree) had the lowest earnings (OC: $25,941, CA: $25,253) and the highest educational attainment category (graduate or professional degree) had the highest earnings (OC: $93,165, CA: $91,622)"
Demographics,Demographics,8,plain text,,"Average Unemployment and Unemployment Rate: Based on data from the County Demographics Profile section of the CDSS Cal-OAR Dashboard, Unemployment Rates in Orange County were 2.8% (2019) and 6.0% (2021), compared to California's 5.2% (2019) and 7.3% (2021)"
Demographics,Demographics,8,plain text,,"Sources. 1 U.S. Census Bureau, 2016-2020 American Community Survey 5-Year Estimates. Table S1501 (Orange County); 2U.S. Census Bureau, 2016-2020 American Community Survey 5-Year Estimates. Table S1501 (Califomia)"
Demographics,Demographics,8,plain text,,Descriotion: This table summarizes 2020 median earnings and rates of poverty in California and Orange County (for the adult population 25 years of age and older) by highest level of educational attainment.
Demographics,Demographics,8,plain text,,"References on the Cal-CSA: Background Question 2, Section 8 Part 5 Question 3"
Demographics,Demographics,8,page number,,9
Demographics,Demographics,8,table,,"California Orange County California Orange County 2020 Level of Educational Attainment 2020 Median 2020 Rate 2020 Rate of Median Earnings of Poverty Poverty Earnings I Less than High School $25.253 $25.941 20.8% 17.7% $32,560 $33.726 High School Graduate (or equivalence 13.4% e) 11.7% $40.683 $43.086 Some College or Associate's Degree 9.4% 7.2% Bachelor's Degree $64,554 $67.002 4.8% 4.6% C S $91.622 $93.165 Graduate or Professional Degree"
Demographics,Demographics,8,table caption,,Figure 4: Median Earnings and Rate of Poverty in Relation to Level of Educational + Attainment
Demographics,Demographics,9,plain text,,"In comparison, the most common levels of educational attainment for Orange County CalWORKs clients who completed an Appraisal in 2021 through the Online CalWORKs Appraisal Tool (OCAT) was graduating high school (45%) and having a high school education (no diploma) or less (20.9%), bringing the total percentage of Orange County CalWORKs clients with a high school diploma or less to 65.9% (Figure 5: Highest Level of Educational Attainment of County of Orange CalWORKs Clients)."
Demographics,Demographics,9,plain text,,"Household Income: According to the County Demographics Profile section of the CDSS Cal-OAR Dashboard, the median annual household income in Orange County in 2020 was $94,441 compared to California at $78,672 (Figure 6: Median Household Income by Year). While not a direct comparison to median annual household income, it is important to note that during FY 2019-20, 80.3% of Orange County CalWORKs cases containing work eligible adults earned under $24,000 annually (Figure 7: Earnings Distribution for CalWORKs Cases with Work Eligible Adults)"
Demographics,Demographics,9,plain text,,"In both Orange County and California, completing a bachelor's degree was the most common level of educational attainment (OC: 26.4%, CA: 21.6%). In California, 16.1% of adults 25 years and older had a high school education (no diploma) or less. In Orange County, 13.9% had a high school education (no diploma) or less."
Demographics,Demographics,9,plain text,,Description: This table displays educational attainment information for County of Orange CalWORKs clients who were Welfare-to-Work participants and completed an Online CalWORKs Appraisal Tool (OCAT) appraisal between January 2021 to December 2021
Demographics,Demographics,9,plain text,,Source: 1 OCAT Report: Clients by Educational Attainment
Demographics,Demographics,9,plain text,,"References on the Cal-CSA: Background Question 2, Background Question 3, Section 8 Part 5 Question 2"
Demographics,Demographics,9,page number,,10
Demographics,Demographics,9,table,,Highest Level of Education Completed F Percentage of Total Less than High School Degree 20.9% High School Graduates 45.0% Some College or Vocational School 20.5% Post College/Graduate School 2.6% Data Unavailable 11.0%
Demographics,Demographics,9,table caption,,Figure 5: Highest Level of Educational Attainment of County of Orange CalWORKs Clients
Demographics,Demographics,10,plain text,,"Poverty and Deep Poverty Rates: According to the American Community Survey 5-Year (2016-2020) Estimates, Orange County's rate of deep poverty (below 50% of poverty threshold) was 4.78% compared to California's rate of 5.63%. Orange County's rate of"
Demographics,Demographics,10,plain text,,"Description: This table summarizes median household income in Orange County for 2019 and 2020. For comparison, data for Riverside, San Bernardino, and San Diego counties (and California as a whole) were includeq Source: 1 CDSS Cal-OAR Data Dashboard (County Demographic Profile tab, Household Income Sub-Section)"
Demographics,Demographics,10,plain text,,"County for fiscal year (FY) 2018 to 2019 and FY 2019 to 2020. For comparison, data for Riverside, San Bermardino, and San Diego counties (and California as a whole) were included Source: 1 CDSS Cal-OAR Data Dashboard (County Demographic Profile tab, Household Income Sub-Section"
Demographics,Demographics,10,plain text,,"Source: 1 CDSS Cal-OAR Data Dashboard (County Demographic Profile tab, Household Income Sub-Section Reference on the Cal-CSA: Background Question 2"
Demographics,Demographics,10,page number,,11
Demographics,Demographics,10,table,,"County 2019 2020 California $75,235 $78,672 Orange $90.234 $94,441 Riverside S67.005 $70,732 San Bernardino S63.362 S65.761 San Diego $78.980 S82.426"
Demographics,Demographics,10,table,,"San San Orange Orange San San California California Riverside Riverside Diego Diego County County Bernardino Bernardino FY 2018- FY 2019- FY 2018 FY 2019 FY FY FY 2018- FY 2019 FY 2018- FY 2019- 2019 2020 - 2019 -2020 2018- 2019- 2019 -2020 2019 2020 2019 2020 No income 61.8% 50.3% 62.3% 48.0% 6 62.2% 49.4% 61.3% 48.1% 62.3% 50.6% reported $1 to 62.4% 56.6% 58.5% 53.3% 65.4% 59.3% 64.1% 58.5% 62.1% 56.2% S1000 $1001 to 18.4% 18.1% 19.17% 19.17% 17.8% 18.5% 17.8% 17.2% 17.4% 20.4% 19.9% $1600 $1,601 to 7.4% 8.4% 7.1% 9.2% 6.3% 8.6% 7.4% 7.9% 7.3% 8.6% S2000 $2001 to 5.9% 7.8% 6.9% 8.7% 4.9% 6.9% 5.9% 7.5% 5.5% 7.1% S2600 More than 5.9% 9.1% 8.3% 11.0% 4.9% 7.4% 5.4% 8.7% 4.7% 8.2% S2601"
Demographics,Demographics,10,table caption,,Figure 7: Earnings Distribution for CalWORKs Cases with Work Eligible Adults
Demographics,Demographics,10,table caption,,Figure 6: Median Household Income by Year
Demographics,Demographics,11,plain text,,"Race and Ethnicity: Findings from the American Community Survey 5-Year (2015-2019) Estimates show that the largest population in Orange County was White (40.6%) followed by Hispanic/Latino (34.1%). The largest population in California was Hispanic/Latino (39.0%) followed by White (37.2%). The two races with the biggest difference in population between Orange County and California were Asian (6.0% more in Orange County than California) and Hispanic/Latino (4.9% less in Orange County than California) (Figure 2: Race and Ethnicity Data, page 8 of this document). According to U.S. Census Bureau data, the percentage of Asian population as a total of the Orange County population grew by 3.9%, or 154,203, between 2010 and 2020"
Demographics,Demographics,11,plain text,,poverty (below 100% of poverty threshold) was 10.14% compared to California's rate of 12.58% (Figure 8: Poverty and Deep Poverty Rates).
Demographics,Demographics,11,plain text,,"Child Poverty Rates: According to the American Community Survey 5-Year (2016-2020) Estimates, Orange County's rates of child poverty for children under 18 years old was 12.9% compared to California's rate of 16.8% (Figure 9: Child Poverty Rates)."
Demographics,Demographics,11,plain text,,"Description: This table summarizes poverty and deep poverty rates in Orange County and California from 2016 to 2020 Sources. U.S. Census Bureau. 2016-2020 American Community Survey 5-Year Estimates. Table C17002 (Orange County): 2 U.S. Census Bureau. 2016-2020 American Community Survey 5-Year Estimates, Table C17002(Califonia Reference on the Cal-CSA: Background Question 2"
Demographics,Demographics,11,plain text,,"Sources. U.S. Census Bureau. 2016-2020 American Community Survey 5-Year Estimates. Table S1701 (Orange County): 2U.S. Census Bureau. 2016-2020 American Community Survey 5-Year Estimates, Table S1701 (Califonia) Reference on the Cal-CSA: Backqround Question 2"
Demographics,Demographics,11,page number,,12
Demographics,Demographics,11,table,,Poverty Level Orange County California Below 50% (Deep Poverty) 4.78% 5.63% Below 100% 10.14% 12.58% Below 125% 13.49% 16.78%
Demographics,Demographics,11,table,,Age Orange County California Under 5 Years 12.7% 17.0% 5-17 Years 13.0% 16.7% Under 18 Years 12.9% 16.8%
Demographics,Demographics,11,table caption,,Figure 8: Poverty and Deep Poverty Rates
Demographics,Demographics,11,table caption,,Figure 9: Child Poverty Rates
Demographics,Demographics,12,title,,"3. Describe the overall CWD demographic makeup, and how it impacts the ability of the CWD to provide services to the CalWORKs population."
Demographics,Demographics,12,plain text,,"Based on the Agency's summarized demographic data, 74.8% of the Agency's CalWORKs clients were children and 25.2% were adults. Adults who were 60 years of age and older represented 0.3% of the total CalWORKs population (Figure 10: County of Orange CalWORKs Clients by Age). For gender, 56% of the CalWORKs head of households were female and 44% were male (Figure 11: County of Orange CalWORKs Clients by Gender)."
Demographics,Demographics,12,plain text,,"When comparing overall Orange County race and ethnicity data to the Orange County CalWORKs race and ethnicity data, the two races with the biggest difference in population were Hispanic/Latino (27.9% more in the Orange County CalWORKs population than the general Orange County population) and Asian (15.6% less in the Orange County CalWORKs population than the general Orange County population)."
Demographics,Demographics,12,plain text,,"HUD Homeless Population Estimates: According to the County Demographics Profile section of the CDSS Cal-OAR Dashboard, the Orange County Continuum of Care's total number of homeless people in 2020 was 6,978 compared to California's total of 161,548 When comparing these numbers to the total populations in Orange County (3,167,809) and California (39,029,342), Orange County Continuum of Care's percentage of homeless people in 2020 was 0.22% compared to California's percentage of 0.41%."
Demographics,Demographics,12,plain text,,"Average Rent: According to the County Demographics Profile section of the CDSS Cal- OAR Dashboard, the average gross monthly rent in Orange County in 2020 was $1,928 compared to $1,586 in California. Rent was 35% or more of the household's income for 45.9% of households in Orange County and 44.7% of households in California. Conversely, rent was under 30% of a household's income for 44.1% of households in Orange County and 45.7% of households in California."
Demographics,Demographics,12,page number,,13
Demographics,Demographics,13,title,,Figure 10: County of Orange CalWORKs Clients by Age
Demographics,Demographics,13,plain text,,"The largest three (3) ethnicities of the Agency's CalWORKs clients were Hispanic (57.4%), Other Ethnicity (16.8%), and Vietnamese (14.1%). Hispanic, Other Ethnicity, and Vietnamese make up 88.3% of CalWORKs clients. The remaining two ethnicities were White (6%) and Black (5.6%) (Figure 12: County of Orange CalWORKs Clients by Ethnicity)."
Demographics,Demographics,13,plain text,,F Reference on the Cal-CSA:Background Question 3
Demographics,Demographics,13,plain text,,Description: This table summarizes the ages of active CalWORKs clients from January 2022 to June 2022. Source: 1 Agency Research Report
Demographics,Demographics,13,plain text,,Reference on the Cal-CSA:Background Question 3
Demographics,Demographics,13,plain text,,References on the Cal-CSA:Background Questions 3 and 5
Demographics,Demographics,13,plain text,,Source: 1 Agency Research Report
Demographics,Demographics,13,plain text,,Description: This table summarizes the gender of active CalWORKs clients from January 2022 to June 2022 Source: 1 Agency Research Report
Demographics,Demographics,13,page number,,14
Demographics,Demographics,13,table,,"CalWORKs Region Foster Care Gender North West South East Total (Mutual Clients) Number Percent Number Percent Number Percent Number PercentNumber Percent Number Percent Female 56.7% 6,024 6,203 1,742 55.6% 56.7% 5,158 55.2% 313 19,440 58.5% 56.0% Male 4,605 43.3% 4,956 44.4% 1.329 43.3% 4,188 44.8% 222 41.5%15,300 44.0% Total 10.629 100.0%|11,159|100.0% 3.071 100.0% 9.346 100.0% 535 100.0%34,740 T 100.0%"
Demographics,Demographics,13,table,,"CalWORKs Region Foster Care Ethnicity North West West South East Total (Mutual Clients) NumberPercent Number|PercentNumber Percent Number Percent Number Percent Number Percent Black 640 6.0% 652 5.8% 333 10.8% 3.1% 291 6.4% Hispanic 6,303 59.3% 5.501 49.3% 1,058 34.5% 72.5%  6,778 54.8% Vietnamese 72 0.7% 2,278 20.4% 941 30.6% 1,536 16.4% 16.4% Whit 1.24 1.7% 740 6.6% 0.7% 23 9 1.0% 0.6% Other Ethnicity 2.373 22.3% 1,98817.8% 716 23.3% 650 7.0% 21.9% Total 10,629100.0%11,159100.0%|3,071100.0%9,346  100% 100.0%"
Demographics,Demographics,13,table,,"Foster Care Age Category North West South East Total (Mutual Clients) Number Percent Number Percent NumberPercent Number Percent Number Percent Number Percent Children:0-<6 2.237 2 21.0% 19.4% 2,165 628 20.4% 1,835 19.6% 29.2% 156 7.021  20.2% Children:6-<13 3,192  30.0% 3,324 29.8% 879 28.6% 2,991 32.0% 143 26.7% 10,529 30.3% Children:13-<18 2,399 22.6% :  2,780 24.9% 647 2,540 21.1% 27.2% 76 14.2% 8,442 24.3% Adults:18+ 2,801 26.4% 2,89025.9% 917 1,980 29.9% 21.2% 160 29.9% 8,748 25.2% Total 10,629100.0%11,159|100.0% 3.071 100.0%9,346 100.0% 535 100.0%34,740|100.0%"
Demographics,Demographics,13,table caption,,Figure 11: County of Orange CalWORKs Clients by Gender
Demographics,Demographics,13,table caption,,Description: This table summarizes the ethnicity of active CalWORKs clients from January to June 2022. Data marked with an asterisk (*) has been de-identified to protect client confidentiality
Demographics,Demographics,13,table caption,,Figure 12: County of Orange CalWORKs Clients by Ethnicity
Demographics,Demographics,14,plain text,,"For the Orange County Adult CalWORKs population that completed an OCAT Appraisal in 2021, the highest levels of education completed (Figure 5: Highest Level of Educational Attainment of County of Orange CalWORKs Clients, page 10 of this document) were as follows:"
Demographics,Demographics,14,plain text,,"Orange County is car centric. Southern Orange County, which is more suburban than the rest of the county, has significant access issues as there is no public transportation in some remote areas, which creates a barrier for clients residing in those areas to attend appointments and interviews. The Agency provides various transportation service options for clients to attend appointments, take children to daycare, and commute to school or work. All Agency CWWTW offices have contracted service providers co- located to make it easier for clients as they have all the services in one location, reducing the need for transportation."
Demographics,Demographics,14,plain text,,"Additionally, feedback from our partners and collaborators highlighted that clients often lack digital literacy, which restricts their capabilities for remote appointments, online application/SAR 7 completion, and online verification submission. Some parts of Orange County have internet connectivity issues that hamper administering some programs, especially online classes and job search. Agency CWWTW offices provide resource centers to assist clients with these issues."
Demographics,Demographics,14,plain text,,"The race most likely to be in poverty in Orange County was Hispanic, with 13.51% below the poverty level. The impact of housing on poverty in Orange County also creates a considerable challenge for many families who are served by the Agency. This challenge impacts the non-citizen population the most as immigrants who do not have legal status do not qualify for government assistance and struggle to obtain living wage jobs and afford housing in Orange County"
Demographics,Demographics,14,plain text,,"T The top three (3) languages were English (69.2%), Spanish (26.5%), and ""Other"" (2%). These are followed by Vietnamese (1.5%) and Arabic (0.9%). Additionally, it is important to note the prevalence of Korean, Chinese, and Farsi languages in Orange County."
Demographics,Demographics,14,plain text,,L · Less than High School Degree (20.9%)
Demographics,Demographics,14,plain text,,F . Post College/Graduate School (2.6%)
Demographics,Demographics,14,plain text,,"Four of the Agency's five (5) CalWORKs offices are located in urban areas, with the South office considered suburban."
Demographics,Demographics,14,plain text,,Some College or Vocational School (20.5%)
Demographics,Demographics,14,plain text,,·[ Data Unavailable (11.0%)
Demographics,Demographics,14,plain text,,. } High School Graduates (45.0%)
Demographics,Demographics,14,page number,,15
Demographics,Demographics,15,title,,4. Describe any challenges or opportunities these findings present for the CWD and how this information aids in the identification of Cal-SIP strategies.
Demographics,Demographics,15,title,,"5. Provide an analysis of the variation in demographics and service delivery by region, if applicable, and how the CWD may target service delivery based on this information."
Demographics,Demographics,15,plain text,,"Orange County residents have a higher education attainment level than the California average. Most jobs paying living wages require at least a high school diploma or GED, resulting in many CalWORKs clients ending up with minimum wage jobs or working for a temporary job-placement agency. Additionally, for non-proficient English-speaking clients, the number of viable jobs is even smaller. Orange County has one of the highest costs of living and rent prices in California, making the situation more complicated for the Orange County CalWORKs population to sustain stable housing and increase self- sufficiency."
Demographics,Demographics,15,plain text,,"The Agency is exploring strategies to support educational attainment, wage progression, housing support, equal access to services/resources, English language learning, and additional services to non-WTW members of the CalWORKs family."
Demographics,Demographics,15,plain text,,"The five largest ethnic groups in the Orange County CalWORKs population are Hispanic (57.4%), Vietnamese (14.1%),White (6%), Black (5.6%), and Other Ethnicity (16.8%) (Figure 12: County of Orange CalWORKs Clients by Ethnicity, page 14 of this document)."
Demographics,Demographics,15,plain text,,"The White population is higher in the North and West regions, making up 11.7% and 6.6% of clients served, while only 1% of clients identify as White in the East region."
