section,part,start_page,end_page,part_summary
Section 3. Barrier Removal Services,Part 1. Key Data,47,47,"The CalWORKs county report displays trends and outcomes for people who have been recommended for various Barrier Removal Services. These include services for domestic abuse, substance abuse, and mental health issues. On average, the most referrals were made for domestic abuse services (156 per month), followed by mental health services (135 per month), and substance abuse services (13 per month). 

Among those referred for Domestic Abuse Services, an average of 44 individuals per month have an exemption, good cause, or program waiver. A smaller number, an average of 8 per month, are receiving these services through the Family Stabilization program. No individuals were reported as receiving Homeless Assistance or Housing Support Program services alongside Domestic Abuse Services.

In the case of Substance Abuse Services, an average of one individual per month has an exemption, good cause, or program waiver. No individuals receiving these services were reported as receiving support from the Family Stabilization program or the Homeless Assistance or Housing Support Program services.

For Mental Health Services, an average of 47 individuals per month have an exemption, good cause, or program waiver and an average of 18 individuals per month are receiving these services through the Family Stabilization program. Again, no individuals were reported as receiving Homeless Assistance or Housing Support Program services alongside Mental Health Services.

Data regarding the average monthly number of individuals that completed the Learning Needs Screening, the average monthly number of referrals generated for Learning Needs Evaluation, and the average monthly number of individuals that waived the Learning Needs Screening was not applicable during the 2021-2026 Cal-OAR cycle."
Section 3. Barrier Removal Services,Part 2. Service Utilization and Access,48,50,"The report discusses trends and services related to CalWORKs in a county, with a focus on barrier removal and service utilization. The agency provides various services for mental health, substance abuse, domestic abuse, legal assistance, public health, family stabilization, housing support, family assessment, childcare, and a home visiting program. These services are made available through various methods such as good cause/waiver orientation, appraisal, and intake packets.

The Family Support Assessment (FSA) Process monitors families for up to 12 months, tracking the number of families serviced, types of barriers, services provided, length of time before exiting the FSA, and the reason for exiting. The agency is working on addressing family needs gaps, particularly focusing on whole family support rather than just those engaging for Welfare to Work (WTW) participation. 

However, there are challenges faced by families with non-citizen members who do not receive services and benefits at the same level as the general CalWORKs population. Similarly, the agency faces challenges with the impact of Latino immigrants, prompting the hiring of a bilingual and bicultural workforce.

For clients co-involved with child welfare, a collaboration known as Mutual Client (MC) has shown success in meeting the needs of these families through a streamlined approach. Recent contract agreements like Case Management Services (CMS) and Integrated Job Services (IJS) have also been aligned with Cal-OAR reporting requirements. 

There is an identified unmet need for post-aid services. To address this, starting from January 2023, the agency will offer post-aid services through Employment Services - Post-Aid Supportive Services (ES-PASS). ES-PASS will identify the needs of former CWWTW participants and provide resources to overcome barriers to self-sufficiency."
Section 3. Barrier Removal Services,"Part 3. Offer of Services, Barrier Identification, and Referral Process",51,56,"The CalWORKs report discusses key trends in service provision, barrier identification, and referral processes. It notes the importance of barrier removal services, which are discussed and offered from the initial client interview and throughout the client's interaction with the agency. The information gathered during interviews is confidential and crucial for evaluating family needs and removing barriers.

The report also identifies gaps in OCAT recommendations for services and referrals, mainly due to clients' refusal or decline of services based on their belief that they don't need them. These gaps are addressed through frequent follow-ups and reminders of available services, as well as through the distribution of informational flyers and brochures at regional offices and in application packets.

Referral processes are also outlined, with Intake Employment and Eligibility Specialists responsible for identifying barriers and offering suitable services. Case managers follow up with clients regularly to ensure their needs are being met and any grievances are appropriately addressed. In cases of domestic abuse or destabilizing crises, referrals are made to specialized case managers or units.

The report also discusses the implementation of the Family Support Team (FST) and Family Support Assessment (FSA), aimed at providing a holistic approach to assisting families. This approach includes assessing family needs, coordinating services, following up on referrals and next steps, monitoring progress, and measuring outcomes.

Lastly, the report discusses measures taken to ensure the safety of survivors of domestic abuse, including the provision of informational brochures, use of the Safe at Home (SAH) program, and maintaining strict confidentiality."
Section 3. Barrier Removal Services,Part 4. Working with Service Providers,57,61,"The CalWORKs county report reveals several trends, changes, and outcomes in service delivery for the children and families served by the program. The primary service providers were listed as OC Health Care Agency (HCA), EQUUS, MAXIMUS, MECCA, First 5, 1736 Family Crisis Center, Family Resource Center (FRC), and Orange County Asian Pacific Community Alliance (OCAPICA), among others. These providers offer a range of services including mental health and substance abuse services, job readiness training, family stabilization, and housing support.

However, the Housing Support Program (HSP) is identified as the only impacted service due to a lack of landlords willing to lease to CalWORKs clients. The report indicates that co-located barrier removal service providers are available at all CWD offices, offering assistance with medical, developmental, emotional, pregnancy, or substance use-related concerns, and domestic abuse services.

The report also outlines the leveraging of county-administered programs and community partnerships for barrier removal services. These include the OC Health Care Agency, Family Resource Centers, Integrated Job Services, Children and Family Services, and workforce development boards. The report mentions the collaboration with other county agencies and partners to streamline services and identify additional resources.

Despite these efforts, the report identifies some barriers to access, such as local housing prioritization rules that prevent CalWORKs clients in the HSP from being considered for ongoing long-term housing opportunities like Section 8 housing vouchers. 

Overall, the report highlights an integrated and coordinated approach to service delivery, with various agencies and service providers working together to address the diverse needs of CalWORKs clients. However, the challenges related to housing for CalWORKs clients points to a need for further efforts to remove barriers to service access."
Section 3. Barrier Removal Services,Part 5. Staff Training,62,64,"The report discusses various specialized units within CalWORKs, including Domestic Abuse Services Units (DASU), Family Stabilization (FS) Specialized Units, Mutual Client Specialized Units, and Cal-Learn Specialized Units. These units focus on addressing specific barriers and ensuring stability for families, with services tailored to situations such as domestic abuse, mental health issues, substance abuse, and homelessness.

Staff training is highlighted as an essential aspect of service delivery in these units. Training includes domestic abuse, substance abuse, mental health, and learning disabilities, focusing on early identification of issues and sensitive communication. The training is provided in-house and also in collaboration with partner agencies.

In addition to training, staff have access to the Employee Assistance Program to manage secondary trauma and compassion fatigue. Specialized caseworkers also receive additional training on how to talk with clients about barrier removal services and making appropriate referrals.

The report also notes a shift towards intensive case management and a focus on individual assessments to determine a participant's capacity for participation in Welfare to Work (WTW) activities. This points to a trend towards personalized service delivery to address unique needs of each participant.

Overall, the report suggests a move towards specialization in service delivery, with more targeted interventions for distinct populations and barriers. This approach is expected to lead to more effective outcomes, though specific quantitative outcomes are not discussed in the provided text."
Section 4. Initial Engagement Analysis,Part 1. Initial Engagement Analysis,65,66,"The Initial Engagement Analysis for CalWORKs in Orange County reveals a few key trends and outcomes. The First Activity Attendance Rate was higher than the statewide average, peaking at 82.7% in August 2021. From April to September 2021, this rate trended upward, unlike the state's rate, which dipped and then slightly increased. 

The OCAT/Appraisal Timeliness Rate and the Orientation Attendance Rate were also higher than the statewide averages. The OCAT/Appraisal Timeliness Rate increased and then dropped slightly below the initial rate from July to December 2021. The Orientation Attendance Rate, however, trended downward from July to December 2021, in contrast to the state rate, which trended upward. 

Several factors contributed to these trends. The county agency enhanced access to virtual orientations, OCAT/Appraisal Interviews, online activities, and e-forms in response to COVID-19, which likely facilitated these increases. However, clients faced barriers such as the struggle to find reliable child care, overwhelming paperwork, and lack of access to technology for virtual services. 

Transportation access was noted as a primary concern, with most clients using cars and facing challenges if they live in remote areas. In response, alternative transportation methods like Uber/Lyft were offered on a case-by-case basis. The county also implemented the Early Engagement Project in 2016 to improve business processes and close gaps between CalWORKs approvals, Welfare-To-Work case assignment, and scheduling of Orientation and Appraisal Interviews. Despite these efforts, issues like complex family needs, housing instability, and lack of reliable child care remain as primary concerns for meeting Initial Engagement goals."
Section 4. Initial Engagement Analysis,Part 2. Demographic Analysis,67,68,"The CalWORKs report indicates that while early engagement practices have been successful in ensuring immediate initial engagement in WTW (Welfare-To-Work) activities, there are still gaps in service due to barriers such as transportation, childcare, and a need for holistic family assessments. There's also room for improvement in communication between case managers, contracted staff, and clients. 

The report also notes a disparity in the OCAT/Appraisal Completion Timeliness Rates among clients whose primary languages are Spanish and other languages, with rates lower than the aggregate six-month rate. However, no disparities were observed when analyzing data by age, case type, race/ethnicity, or WTW program status. 

In terms of service availability across different CW/WTW offices, the report suggests that variations may exist based on capacity and the needs of the population served, but no known disparities in service provision were identified. 

To address these issues, the Cal-OAR Team plans to continue exploring systemic causes of disparities and develop strategies to address them throughout the Cal-CQI process. Additionally, further assessments will be conducted to compare services offered by the agency and those available in the community, and to investigate if disparities exist among various measures and subpopulations. 

Overall, the report suggests a need for improved accessibility and service provision, particularly for clients facing barriers to engagement and those whose primary language is not English. Despite these challenges, the agency's proactive approach to scheduling and engaging clients in initial WTW activities has produced above-average outcomes."
Section 4. Initial Engagement Analysis,Part 3. Outcome Analysis,69,69,"The report focuses on the goal of the agency to reduce disparities and provide equitable services to all populations. They aim to empower communities and ensure equal outcomes. To achieve this, the Cal-OAR team is consistently exploring systemic causes and developing strategies to address any identified disparities during the Cal-CQI process. This involves analysis of individual level data and emerging themes from the Cal-CSA. The outcomes of previously implemented strategies and their impact on performance are discussed, but specific results or changes are not mentioned in the text. The report also indicates that certain information and questions were not applicable during the 2021-2026 Cal-OAR cycle, suggesting that some aspects of the program or its evaluation may have changed during this period. However, the text does not provide specific details about these changes or their effects."
Section 4. Initial Engagement Analysis,Part 4. System Analysis,70,74,"The report discusses the process of CalWORKs service delivery, from the assignment of Welfare-to-Work (WTW) cases to case managers, to ensuring clients are provided with necessary transportation and child care support. A key change includes case managers starting to schedule their own appointments during COVID-19, a change that will be revisited post-CalSAWS implementation. The report also outlines the detailed process for providing full-time child care support for clients, with a focus on prompt access and continuous service.

Child care payments are made directly to providers based on their rates or the Regional Market Rate, whichever is less. The report describes the process of submitting the Child Care Packet, which is required for child care payment. The use of DocuSign eSignature technology was noted as a method to ensure timely receipt of necessary signatures.

CalWORKs clients are given multiple opportunities to request child care, and the agency promotes parental choice in choosing a child care provider. Transition between the three stages of child care is intended to be seamless. 

Regarding transportation, CalWORKs provides options such as bus pass, mileage reimbursement, and reimbursement for parking costs incurred during WTW activities. Despite some challenges with public transportation, efforts are made to provide reasonable transportation services. Since the onset of COVID-19, Orientation is available virtually and over the phone.

The report also underscores the importance of case managers understanding the individual needs, strengths, and barriers of clients to develop personalized WTW plans. This involves using tools such as the Self-Appraisal form and the Online CalWORKs Assessment Tool (OCAT). 

There are no identified barriers in the process of mailing out bus passes. However, there are significant factors affecting the lack of interest in transit use, including poor connectivity, declining service levels, eroding service quality, and rising fares. Some challenges are faced by regional offices whose clients live in remote areas not accessible to bus lines."
Section 4. Initial Engagement Analysis,Part 5. Practice Changes to Consider,75,76,"The report suggests several changes to improve performance in the CalWORKs program in Orange County. These include improvements in caseworker training, barrier removal services, and Welfare-to-Work (WTW) engagement and activity sequencing. The report suggests that more in-depth assessments are needed to detect complex barriers to employment such as mental health issues, drug and alcohol addictions, domestic violence, and learning problems. Once identified, clinical diagnoses and treatment plans can be created so that participants receive appropriate services. 

The Agency is planning to examine all processes related to getting CalWORKs families into a healthier state of mind and creating more thorough and tailored paths to self-sufficiency. The hypothesis is that these improvements will lead to better education and employment outcomes for Orange County families with long-term sustained self-sufficiency. 

The report also highlights the importance of additional measures to promote engagement. A study found that the increase in engagement only had an effect for about 30 days, suggesting that more intervention may be needed to sustain increased ongoing engagement. To reengage CalWORKs clients, one effective method was sending out an additional notice highlighting the potential losses participants might experience by not attending their reengagement appointment. 

Overall, the report suggests that more detailed assessments, continuous engagement, and individualized service plans may improve the efficiency and effectiveness of the CalWORKs program in Orange County."
Section 4. Initial Engagement Analysis,Part 6. Partner and Collaborator Feedback,77,79,"The key trends identified in the Partner and Collaborator Feedback section of the CalWORKs report show that the implementation of the Early Engagement Project and the Client Engagement System (CES) have contributed to successful Initial Engagement performance measures. Despite this success, challenges were identified such as the quick connection of clients to services without obtaining proper documentation and the need for more case manager training to detect distress in families and increase awareness of available resources. 

The feedback also highlighted the necessity of conducting a holistic family assessment to remove barriers and address complex socio-economic and cultural challenges. Orange County, which ranks among the top three in these performance measures, expressed interest in collaborating with high-performing counties. 

Feedback from focus groups indicated that reminders prior to scheduled appointments, access to childcare and transportation, and supportive services early in the process are linked with positive performance trends. However, there was noted concern about clients inappropriately assigned to initial activities without a thorough root cause analysis and family-centered care approach. 

The report also emphasized the importance of strength-based case management, early engagement, and flexibility. Barriers like lack of childcare, reliable transportation, and homelessness were identified as significant issues impacting the maintenance of Work and Training (WTW) appointments. 

The Agency has not yet finalized any targeted improvement strategies, though partners and collaborators agreed with the themes and recommendations provided. Further review and analysis is planned for Spring 2023 to identify targeted areas for improvement."
Section 5. Ongoing Engagement Analysis,Part 1. Ongoing Engagement Analysis,80,81,"The Ongoing Engagement Analysis for the CalWORKs program in Orange County suggests a few trends. The county's Sanction Resolution Rate, Engagement Rate, and Sanction Rate were all higher than the statewide averages during the specified analysis periods. The Sanction Resolution Rate peaked at 15% in September 2021 and dipped to a low of 11.7% in December 2021, with the period witnessing an initial rise followed by a slight decrease. The Engagement Rate reached a high of 49.7% in May 2021 and a low of 43.1% in July 2021, with a slight downward trend observed during the period. The Sanction Rate peaked at 17.5% in December 2021 and hit a low of 12.3% in November 2021, with minimal variation until a rise in December 2021. 

The CalWORKs Welfare-to-Work (WTW) program in the county uses a Client Engagement System to track unassigned cases and under-engaged clients. Proactive engagement strategies are encouraged, and barriers to WTW Engagement are evaluated at various stages. Supportive services are offered, and education regarding the benefits of WTW participation is provided to clients. 

A significant change in service delivery came with the swift transition to virtual platforms due to COVID-19, which presented challenges but allowed service continuity. The county has implemented strategies to increase WTW Engagement Rate, reduce the Sanction Rate, and increase the Work Participation Rate."
Section 5. Ongoing Engagement Analysis,Part 2. Demographic Analysis,82,83,"The CalWORKs report has identified disparities in the program, particularly regarding communication and connections to proper activities. These disparities create barriers for first-time clients, with complex challenges, navigating the program. However, ongoing meetings, collaborative problem-solving practices, and enhanced case manager training are improving communication. Participants have expressed that more options for educational activities, vocational training, and certificate programs for in-demand jobs would increase client motivation.

The report analyzed the Sanction Rate, Sanction Resolution Rate, and Engagement Rate performance measures for six months in 2021. It was observed that transportation and child care issues often hinder clients' readiness to access services.

There were disparities in both Sanction and Engagement rates among different case types and sanctioned types. Notably, the Sanction Rate of the 'Unidentified' case type was 67.1% higher than the aggregate rate, and their Engagement Rate was 19.4% lower. The Sanction Resolution Rate for the 'Long-Term Sanction' subgroup was 7.5% lower than the aggregate. The report also noted disparities in the Sanction Rate among races, with Native American/Pacific Islander clients having a 10.7% higher rate than the aggregate.

The Cal-OAR Team plans to explore systemic causes for these disparities and develop strategies to address them. The report did not identify changes or trends since the last Cal-OAR process, as it was not applicable during this cycle."
Section 5. Ongoing Engagement Analysis,Part 3. Outcome Analysis,84,84,"The report indicates that the Agency is committed to providing equitable services to all clients and has policies and processes in place to ensure this. These include case and quality assurance review processes to detect any issues. There have been no known disparities between the services provided by the Agency, although there may be variations in services available at each of the CalWORKs/Workforce Training (CW/WTW) offices based on capacity and population needs. 

The Agency has plans to conduct further assessments to compare the engagement activities it offers with the services available in the community and to determine if there are disparities among various measures and subpopulations. This assessment will inform the ongoing development of strategies to address any identified disparities through the Cal-CQI process.

The Cal-OAR Team will also analyze individual level data from the Cal-OAR 19 reports and will hold discussions with focus groups and partners to explore systemic causes of any disparities and to develop meaningful strategies to address them. 

The text, however, does not provide any specific numerical trends or changes in service usage, performance metrics, or population trends in the CalWORKs program. The report also notes that certain performance measures were not applicable during the 2021-2026 Cal-OAR cycle."
Section 5. Ongoing Engagement Analysis,Part 4. System Analysis,85,89,"The CalWORKs program has implemented several strategies to improve service delivery and client engagement. These include training case managers to better engage with clients, particularly around the Welfare to Work (WTW) Plan and other activities. Initial case planning includes an interview and a WTW orientation within five business days from first contact. The agency uses the Case Accuracy Review System (CARS) and the Client Engagement System (CES) to review case actions and identify unengaged and under-engaged clients. 

The report notes the use of a Domestic Abuse Waiver (DAW) for clients whose domestic abuse situations prevent them from fully participating in WTW activities. Case managers are required to initiate referrals for services to specialized units, and WTW plans are tailored to meet the needs of the individual and modified as necessary. 

Family Stabilization (FS) services are offered to clients experiencing a destabilizing crisis or situation. If a client accepts these services, case managers complete a referral and transfer the case to a specialized case manager for program evaluation and case maintenance. 

The report also discusses the CalWORKs Home Visiting Program (HVP), which offers coaching in prenatal and postnatal care and helps families transition into WTW activities and employment. 

Exempt clients and volunteers are encouraged to participate in the WTW program, with an emphasis on supportive services including child care, transportation, and ancillary. A system is in place for re-engaging clients who are in financial sanction, with efforts made to contact the client and discuss the benefits of participating in the WTW program. 

Overall, the CalWORKs program demonstrates a comprehensive approach to client engagement and support, with strategies to address barriers to participation and processes in place to ensure quality service delivery."
Section 5. Ongoing Engagement Analysis,Part 5. Practice Changes to Consider,90,91,"The CalWORKs county report outlines planned practice changes to improve the Family Support Assessment (FSA) process, which aims to promote the well-being and self-sufficiency of CalWORKs families. The agency is considering changes based on the Engagement Rate, Sanction Rate, and Sanction Resolution Rate, as well as other performance measures.

The report identifies a need for improvement in caseworker training, barrier removal services, and WTW engagement and activity sequencing. The FSA process, implemented in July 2022, uses a holistic approach to assist families in identifying needs, overcoming barriers, and promoting self-sufficiency, and includes a Family Support Team (FST) to monitor progress for up to 12 months.

The report also notes the need to study both strong and underperforming demographic groups to identify opportunities for improvement and drivers of success, and to prevent program re-entries. It cites studies indicating that fully sanctioned TANF recipients are more likely to return to TANF than unsanctioned recipients, and suggests best practices including integrated case management, automated tracking systems, and frequent client-staff contact.

In terms of service changes, the agency is looking to encourage caseworkers to refer families to FSA when needs arise in areas such as domestic, mental, or substance abuse services; housing and homeless resources; and general safety concerns or legal issues. The report also discusses the importance of collaboration between the CEES and WTW case manager to ensure clients' supportive service needs are met when they agree to cure their sanction."
